"businessentityid","personname","emailaddress","phonenumber","totalpurchaseytd"
5794,"Kevin Coleman","kevin9@adventure-works.com","1 (11) 500 555-0167","5886.51040"
2384,"Crystal Zeng","crystal1@adventure-works.com","1 (11) 500 555-0184","5840.53040"
5012,"Suzanne Zhou","suzanne10@adventure-works.com","1 (11) 500 555-0119","5839.53040"
14295,"Felicia Blanco","felicia15@adventure-works.com","1 (11) 500 555-0130","5833.52180"
3985,"Preston Raman","preston11@adventure-works.com","1 (11) 500 555-0168","5799.03040"
15114,"Jill Suarez","jill27@adventure-works.com","1 (11) 500 555-0162","5786.54040"
14866,"Lance Blanco","lance15@adventure-works.com","1 (11) 500 555-0187","5264.00180"
17972,"Abby Subram","abby10@adventure-works.com","1 (11) 500 555-0187","5263.50040"
7484,"Dominique Prasad","dominique7@adventure-works.com","1 (11) 500 555-0148","5052.41080"
6741,"Theodore Torres","theodore12@adventure-works.com","1 (11) 500 555-0115","5011.41500"
18348,"Frank Vazquez","frank22@adventure-works.com","1 (11) 500 555-0124","5006.39500"
3189,"Adriana Gonzalez","adriana19@adventure-works.com","1 (11) 500 555-0129","4925.48000"
5502,"Aaron Foster","aaron15@adventure-works.com","477-555-0181","4854.50000"
4329,"Seth Rodriguez","seth19@adventure-works.com","1 (11) 500 555-0145","4841.92750"
17980,"Gerrit Straatsma","gerrit0@adventure-works.com","1 (11) 500 555-0179","4823.42000"
15424,"Candace Raman","candace12@adventure-works.com","1 (11) 500 555-0148","4822.52000"
7511,"Clarence Anand","clarence36@adventure-works.com","1 (11) 500 555-0191","4818.43000"
18574,"Zachary Martinez","zachary48@adventure-works.com","1 (11) 500 555-0190","4814.02750"
10129,"Marie Sanz","marie44@adventure-works.com","1 (11) 500 555-0155","4814.01000"
7137,"Adrienne Sanz","adrienne16@adventure-works.com","1 (11) 500 555-0140","4805.73750"
12352,"Colleen Anand","colleen45@adventure-works.com","1 (11) 500 555-0160","4795.03180"
16695,"Francisco Ashe","francisco7@adventure-works.com","1 (11) 500 555-0160","4793.52180"
5080,"Andres Pal","andres9@adventure-works.com","1 (11) 500 555-0138","4785.71750"
3698,"Bonnie Jai","bonnie17@adventure-works.com","1 (11) 500 555-0185","4785.54000"
12422,"Lacey Kumar","lacey42@adventure-works.com","1 (11) 500 555-0112","4780.05040"
14920,"Albert Blanco","albert15@adventure-works.com","1 (11) 500 555-0130","4777.55000"
18467,"Brandon Walker","brandon53@adventure-works.com","180-555-0147","4775.08000"
15593,"Ricky Navarro","ricky10@adventure-works.com","1 (11) 500 555-0136","4769.99000"
16158,"Kevin Campbell","kevin44@adventure-works.com","929-555-0135","4769.03000"
7954,"Emmanuel Patel","emmanuel3@adventure-works.com","1 (11) 500 555-0134","4768.02000"
14425,"Juan Peterson","juan15@adventure-works.com","1 (11) 500 555-0174","4765.08040"
17024,"Ricardo Nath","ricardo17@adventure-works.com","1 (11) 500 555-0157","4764.54000"
15426,"Sean Reed","sean28@adventure-works.com","594-555-0175","4763.74000"
9302,"Grant Nara","grant18@adventure-works.com","1 (11) 500 555-0153","4761.09180"
10747,"Gerald Rodriguez","gerald5@adventure-works.com","1 (11) 500 555-0120","4760.02040"
18889,"Andrew Wedge","andrew22@adventure-works.com","842-555-0146","4758.57000"
12576,"Clayton Li","clayton3@adventure-works.com","1 (11) 500 555-0119","4755.01750"
16074,"Andre Garcia","andre15@adventure-works.com","1 (11) 500 555-0151","4752.04180"
20221,"George Sanchez","george27@adventure-works.com","1 (11) 500 555-0179","4752.03180"
4028,"Stanley Malhotra","stanley5@adventure-works.com","1 (11) 500 555-0139","4751.10000"
13531,"Jon Yang","jon24@adventure-works.com","1 (11) 500 555-0162","4751.05000"
16138,"Molly Madan","molly7@adventure-works.com","1 (11) 500 555-0131","4750.57000"
3764,"Barry Sara","barry11@adventure-works.com","1 (11) 500 555-0114","4750.08040"
13796,"Monique Ortega","monique18@adventure-works.com","1 (11) 500 555-0177","4750.04180"
20523,"Jennifer Washington","jennifer86@adventure-works.com","1 (11) 500 555-0188","4750.01250"
6134,"Latasha Alonso","latasha8@adventure-works.com","1 (11) 500 555-0110","4749.03000"
8428,"Michele Nath","michele19@adventure-works.com","1 (11) 500 555-0178","4748.54000"
8510,"Catherine Cox","catherine9@adventure-works.com","1 (11) 500 555-0179","4747.04040"
3475,"Karla She","karla0@adventure-works.com","1 (11) 500 555-0122","4747.04040"
17834,"Ethan Jones","ethan33@adventure-works.com","1 (11) 500 555-0142","4746.75040"
19962,"Julie Raje","julie19@adventure-works.com","1 (11) 500 555-0159","4745.25180"
7614,"Virginia Mehta","virginia16@adventure-works.com","1 (11) 500 555-0111","4745.04000"
7372,"Stefanie Raman","stefanie9@adventure-works.com","1 (11) 500 555-0111","4744.32750"
2603,"Gregory Becker","gregory24@adventure-works.com","1 (11) 500 555-0173","4744.05040"
19031,"Gary Gutierrez","gary22@adventure-works.com","1 (11) 500 555-0169","4744.04040"
4632,"Donna Deng","donna2@adventure-works.com","1 (11) 500 555-0169","4744.02750"
3948,"Bryant Sanchez","bryant19@adventure-works.com","1 (11) 500 555-0151","4743.06040"
17661,"Clarence Zhang","clarence37@adventure-works.com","1 (11) 500 555-0167","4740.76180"
13559,"Jon Gao","jon35@adventure-works.com","1 (11) 500 555-0136","4740.50000"
10235,"Darren Dominguez","darren35@adventure-works.com","1 (11) 500 555-0167","4740.05180"
16856,"Russell Sharma","russell12@adventure-works.com","1 (11) 500 555-0167","4739.03750"
7065,"Jaime Gutierrez","jaime12@adventure-works.com","1 (11) 500 555-0173","4737.52000"
6549,"Ryan Perry","ryan10@adventure-works.com","787-555-0136","4736.77000"
14533,"Isaiah Ramirez","isaiah6@adventure-works.com","1 (11) 500 555-0177","4736.10000"
3319,"Gabrielle Ramirez","gabrielle16@adventure-works.com","122-555-0129","4736.02000"
17109,"Aaron King","aaron51@adventure-works.com","600-555-0195","4735.06000"
8417,"Michele Chande","michele15@adventure-works.com","1 (11) 500 555-0188","4734.07040"
15657,"Jimmy Vazquez","jimmy18@adventure-works.com","1 (11) 500 555-0187","4733.02180"
5912,"Elijah Russell","elijah21@adventure-works.com","188-555-0159","4732.73000"
9725,"Deanna Chandra","deanna5@adventure-works.com","1 (11) 500 555-0180","4732.72750"
3491,"Karla Yuan","karla7@adventure-works.com","1 (11) 500 555-0123","4732.04180"
18358,"John Martin","john52@adventure-works.com","718-555-0190","4731.04000"
7685,"Regina Perez","regina20@adventure-works.com","1 (11) 500 555-0129","4730.06000"
6180,"Cheryl Jim̩nez","cheryl7@adventure-works.com","1 (11) 500 555-0165","4730.04000"
1701,"Dorothy Robinson","dorothy3@adventure-works.com","423-555-0100","4730.04000"
20568,"Kaitlyn Rivera","kaitlyn55@adventure-works.com","197-555-0170","4729.55000"
2707,"Max Serrano","max16@adventure-works.com","1 (11) 500 555-0152","4729.54000"
16087,"Andre Perez","andre20@adventure-works.com","1 (11) 500 555-0112","4728.05000"
2679,"Max Alvarez","max5@adventure-works.com","1 (11) 500 555-0124","4727.31000"
18959,"Joseph Clark","joseph26@adventure-works.com","656-555-0119","4727.05000"
5827,"Aimee He","aimee13@adventure-works.com","1 (11) 500 555-0161","4727.04000"
18672,"Daniel Wilson","daniel25@adventure-works.com","478-555-0188","4726.03000"
14268,"Damien Chander","damien32@adventure-works.com","1 (11) 500 555-0111","4724.06000"
12230,"Emily Miller","emily6@adventure-works.com","1 (11) 500 555-0110","4723.75000"
16252,"Denise Mehta","denise15@adventure-works.com","1 (11) 500 555-0164","4723.04180"
6867,"Jordyn Powell","jordyn8@adventure-works.com","809-555-0141","4723.04000"
20124,"Alyssa Bradley","alyssa31@adventure-works.com","1 (11) 500 555-0127","4723.04000"
19905,"Kathryn Xie","kathryn3@adventure-works.com","1 (11) 500 555-0135","4723.03750"
7964,"Franklin He","franklin16@adventure-works.com","1 (11) 500 555-0160","4721.55750"
7535,"Damien Ye","damien7@adventure-works.com","1 (11) 500 555-0178","4721.04180"
20482,"Corey Anand","corey19@adventure-works.com","1 (11) 500 555-0145","4720.74000"
9177,"Kaylee Cook","kaylee18@adventure-works.com","1 (11) 500 555-0188","4720.04000"
3541,"Karla Anand","karla23@adventure-works.com","1 (11) 500 555-0114","4720.03750"
11358,"Christy Zhu","christy12@adventure-works.com","1 (11) 500 555-0162","4719.03000"
17984,"Brent Zhang","brent0@adventure-works.com","1 (11) 500 555-0171","4719.03000"
9489,"Gilbert Raje","gilbert35@adventure-works.com","1 (11) 500 555-0129","4718.05000"
2574,"Dustin Goldstein","dustin20@adventure-works.com","1 (11) 500 555-0190","4718.05000"
11365,"Rachel Garcia","rachel19@adventure-works.com","429-555-0199","4718.04000"
7278,"Miranda Powell","miranda8@adventure-works.com","869-555-0114","4718.03000"
5437,"Jake She","jake21@adventure-works.com","1 (11) 500 555-0186","4717.05000"
5065,"Eduardo Turner","eduardo38@adventure-works.com","500-555-0170","4717.05000"
15276,"Heidi Lopez","heidi19@adventure-works.com","1 (11) 500 555-0168","4716.76000"
11260,"Ruben Mu̱oz","ruben30@adventure-works.com","1 (11) 500 555-0142","4716.02000"
3421,"Lydia Suri","lydia0@adventure-works.com","1 (11) 500 555-0114","4715.09180"
5486,"Eugene He","eugene23@adventure-works.com","1 (11) 500 555-0123","4715.05180"
4520,"Carly Goel","carly17@adventure-works.com","1 (11) 500 555-0118","4715.05180"
18626,"Anthony White","anthony20@adventure-works.com","1 (11) 500 555-0177","4715.04250"
7701,"Jerome Romero","jerome7@adventure-works.com","1 (11) 500 555-0112","4715.04000"
8166,"Edgar Sanchez","edgar21@adventure-works.com","1 (11) 500 555-0117","4714.05180"
10647,"Meredith Gutierrez","meredith34@adventure-works.com","1 (11) 500 555-0179","4714.04000"
7205,"Meagan Rana","meagan11@adventure-works.com","1 (11) 500 555-0118","4713.04000"
18181,"Randy Zeng","randy24@adventure-works.com","1 (11) 500 555-0144","4713.04000"
12967,"Jaclyn Xu","jaclyn28@adventure-works.com","1 (11) 500 555-0199","4712.04180"
6167,"Cheryl Martin","cheryl2@adventure-works.com","1 (11) 500 555-0143","4711.75750"
8283,"Mackenzie Ramirez","mackenzie5@adventure-works.com","1 (11) 500 555-0172","4711.54000"
14628,"Clinton Dominguez","clinton9@adventure-works.com","1 (11) 500 555-0183","4710.74750"
3184,"Adriana Lopez","adriana17@adventure-works.com","1 (11) 500 555-0120","4710.07000"
8865,"Deborah Goel","deborah21@adventure-works.com","1 (11) 500 555-0168","4710.05000"
6640,"Alberto Ramos","alberto17@adventure-works.com","1 (11) 500 555-0156","4710.03040"
17334,"Alan He","alan22@adventure-works.com","1 (11) 500 555-0116","4709.06040"
18003,"Ryan Garcia","ryan52@adventure-works.com","1 (11) 500 555-0116","4709.06000"
5667,"Glenn Wang","glenn2@adventure-works.com","1 (11) 500 555-0195","4708.39750"
17754,"Susan Zhou","susan18@adventure-works.com","1 (11) 500 555-0131","4708.02000"
8113,"Melanie Bradley","melanie16@adventure-works.com","907-555-0122","4707.74000"
3878,"Marco Mehta","marco14@adventure-works.com","1 (11) 500 555-0126","4706.04000"
20526,"April Deng","april1@adventure-works.com","1 (11) 500 555-0182","4706.03000"
14561,"Cole Ramirez","cole9@adventure-works.com","1 (11) 500 555-0166","4705.03180"
5997,"Audrey Ruiz","audrey3@adventure-works.com","1 (11) 500 555-0199","4704.07040"
9423,"Gabriella Collins","gabriella23@adventure-works.com","1 (11) 500 555-0183","4704.06000"
10279,"Hailey Adams","hailey55@adventure-works.com","906-555-0157","4704.06000"
18973,"Veronica Vance","veronica4@adventure-works.com","1 (11) 500 555-0112","4704.03750"
3967,"Abigail Patterson","abigail35@adventure-works.com","209-555-0125","4703.05000"
17923,"Benjamin Brown","benjamin36@adventure-works.com","228-555-0178","4703.05000"
6830,"Tyrone Rubio","tyrone20@adventure-works.com","1 (11) 500 555-0156","4703.04750"
14454,"Lawrence Dominguez","lawrence11@adventure-works.com","1 (11) 500 555-0173","4703.03750"
10977,"Arthur Carlson","arthur41@adventure-works.com","1 (11) 500 555-0166","4702.03000"
6313,"Kristine Dominguez","kristine13@adventure-works.com","1 (11) 500 555-0184","4701.77040"
2393,"Laura Lin","laura14@adventure-works.com","1 (11) 500 555-0151","4701.77000"
12658,"Elizabeth Ross","elizabeth33@adventure-works.com","436-555-0128","4701.77000"
7270,"Ann Martinez","ann22@adventure-works.com","1 (11) 500 555-0189","4701.04000"
13625,"Blake Diaz","blake69@adventure-works.com","1 (11) 500 555-0174","4700.05750"
16466,"Logan Mitchell","logan37@adventure-works.com","1 (11) 500 555-0191","4699.74000"
9790,"Deanna Munoz","deanna33@adventure-works.com","1 (11) 500 555-0192","4699.06000"
19083,"Craig Carlson","craig17@adventure-works.com","1 (11) 500 555-0113","4699.02750"
3631,"Yolanda Shan","yolanda9@adventure-works.com","1 (11) 500 555-0111","4698.03180"
4170,"Kurt Raheem","kurt18@adventure-works.com","1 (11) 500 555-0153","4696.06000"
14507,"Cody Gray","cody6@adventure-works.com","430-555-0114","4696.04000"
10842,"Bruce Gomez","bruce23@adventure-works.com","1 (11) 500 555-0117","4695.08000"
4459,"Dalton Miller","dalton5@adventure-works.com","1 (11) 500 555-0152","4695.07180"
8474,"Tonya Chande","tonya14@adventure-works.com","1 (11) 500 555-0177","4695.07000"
8331,"Carmen Madan","carmen10@adventure-works.com","134-555-0143","4694.34000"
13741,"Robin Vazquez","robin11@adventure-works.com","1 (11) 500 555-0179","4692.07000"
10257,"Jennifer Adams","jennifer18@adventure-works.com","124-555-0126","4692.05000"
14076,"Melinda Gill","melinda9@adventure-works.com","1 (11) 500 555-0117","4692.05000"
14738,"Charles Richardson","charles58@adventure-works.com","385-555-0136","4692.05000"
13469,"Dalton Butler","dalton60@adventure-works.com","557-555-0117","4691.06000"
18699,"Erika Munoz","erika5@adventure-works.com","1 (11) 500 555-0113","4691.05750"
20506,"Keith Andersen","keith16@adventure-works.com","1 (11) 500 555-0182","4691.05180"
9101,"Wayne Tang","wayne5@adventure-works.com","1 (11) 500 555-0178","4691.05180"
5230,"Leonard Nath","leonard20@adventure-works.com","1 (11) 500 555-0146","4691.05180"
18613,"Stacy Navarro","stacy10@adventure-works.com","1 (11) 500 555-0111","4691.05040"
4781,"Bianca Lin","bianca7@adventure-works.com","1 (11) 500 555-0121","4691.05000"
20739,"Crystal Wang","crystal3@adventure-works.com","1 (11) 500 555-0134","4691.05000"
11901,"Elizabeth Johnson","elizabeth5@adventure-works.com","1 (11) 500 555-0131","4691.05000"
15351,"Brenda Chandra","brenda6@adventure-works.com","1 (11) 500 555-0176","4691.04750"
12185,"Warren He","warren31@adventure-works.com","1 (11) 500 555-0176","4691.04750"
3675,"Bonnie Xie","bonnie8@adventure-works.com","1 (11) 500 555-0170","4691.04000"
6599,"Clarence Wu","clarence2@adventure-works.com","1 (11) 500 555-0164","4690.75180"
16188,"Alex Campbell","alex35@adventure-works.com","376-555-0156","4690.75000"
5983,"Daisy Romero","daisy5@adventure-works.com","1 (11) 500 555-0115","4690.75000"
17657,"Cameron Anderson","cameron50@adventure-works.com","1 (11) 500 555-0151","4690.74750"
15392,"Brenda Perez","brenda25@adventure-works.com","1 (11) 500 555-0181","4690.54000"
5556,"Caleb Simmons","caleb12@adventure-works.com","164-555-0159","4690.06000"
19213,"Philip Carlson","philip17@adventure-works.com","1 (11) 500 555-0110","4689.04000"
16895,"Jerry Sharma","jerry10@adventure-works.com","1 (11) 500 555-0138","4688.05180"
7284,"Miranda Washington","miranda13@adventure-works.com","580-555-0132","4688.04000"
15803,"Troy Srini","troy9@adventure-works.com","1 (11) 500 555-0160","4687.04750"
6826,"Tyrone Suarez","tyrone18@adventure-works.com","1 (11) 500 555-0181","4687.03750"
2910,"Kelvin Carson","kelvin11@adventure-works.com","1 (11) 500 555-0149","4687.03000"
10119,"Kaylee Hill","kaylee35@adventure-works.com","1 (11) 500 555-0131","4686.03000"
2527,"Shannon Yang","shannon5@adventure-works.com","1 (11) 500 555-0134","4685.05000"
14921,"Albert Serrano","albert16@adventure-works.com","813-555-0171","4685.05000"
14634,"Clinton Blanco","clinton12@adventure-works.com","1 (11) 500 555-0116","4685.05000"
12690,"Elizabeth Alexander","elizabeth47@adventure-works.com","1 (11) 500 555-0193","4684.06040"
20226,"Cory Kapoor","cory19@adventure-works.com","1 (11) 500 555-0114","4684.06000"
19923,"Kathryn Chapman","kathryn14@adventure-works.com","1 (11) 500 555-0127","4684.06000"
20380,"Shawn Shan","shawn12@adventure-works.com","1 (11) 500 555-0120","4684.05750"
13886,"Desiree Ortega","desiree18@adventure-works.com","1 (11) 500 555-0163","4684.05750"
4546,"Mindy Kumar","mindy12@adventure-works.com","1 (11) 500 555-0164","4684.05040"
13991,"Joanna Vazquez","joanna13@adventure-works.com","1 (11) 500 555-0182","4684.05000"
20196,"George McDonald","george13@adventure-works.com","1 (11) 500 555-0150","4684.05000"
7131,"Adrienne Serrano","adrienne13@adventure-works.com","1 (11) 500 555-0186","4684.04750"
8788,"Priscilla Pal","priscilla10@adventure-works.com","1 (11) 500 555-0191","4684.04750"
4484,"Carly Xie","carly2@adventure-works.com","1 (11) 500 555-0168","4683.06040"
18606,"Stacy Alvarez","stacy6@adventure-works.com","1 (11) 500 555-0171","4683.05000"
11329,"Christy Chow","christy2@adventure-works.com","1 (11) 500 555-0119","4682.08180"
11423,"Jasmine Lewis","jasmine18@adventure-works.com","1 (11) 500 555-0185","4682.08040"
6174,"Cheryl Diaz","cheryl4@adventure-works.com","1 (11) 500 555-0192","4682.08000"
11156,"Kaitlyn Lewis","kaitlyn44@adventure-works.com","982-555-0123","4682.08000"
10858,"Alexandra Hall","alexandra89@adventure-works.com","1 (11) 500 555-0116","4681.76000"
16284,"Casey Luo","casey6@adventure-works.com","1 (11) 500 555-0125","4681.04000"
13217,"Edwin Bhat","edwin43@adventure-works.com","1 (11) 500 555-0137","4680.06180"
9978,"Arturo Xu","arturo13@adventure-works.com","1 (11) 500 555-0173","4680.03180"
8741,"Gilbert Huang","gilbert5@adventure-works.com","1 (11) 500 555-0147","4679.06750"
7275,"Ann Rodriguez","ann24@adventure-works.com","1 (11) 500 555-0116","4679.06180"
18715,"Orlando Ashe","orlando5@adventure-works.com","1 (11) 500 555-0184","4679.06000"
11435,"Nicole Brown","nicole4@adventure-works.com","1 (11) 500 555-0187","4679.06000"
1719,"Sharon Salavaria","sharon4@adventure-works.com","109-555-0100","4679.05000"
17384,"Krystal Hu","krystal20@adventure-works.com","1 (11) 500 555-0165","4679.04040"
18663,"Christopher Johnson","christopher25@adventure-works.com","130-555-0198","4678.81000"
1730,"Jos̩ Saraiva","jos̩5@adventure-works.com","356-555-0100","4678.06000"
14394,"Anne Ortega","anne22@adventure-works.com","1 (11) 500 555-0122","4678.05180"
14767,"Isaiah Cox","isaiah9@adventure-works.com","1 (11) 500 555-0144","4678.05000"
14475,"Jonathon Hernandez","jonathon0@adventure-works.com","1 (11) 500 555-0191","4678.03750"
12142,"Kelli Raji","kelli44@adventure-works.com","1 (11) 500 555-0117","4676.77180"
9606,"Kristi Ramos","kristi13@adventure-works.com","187-555-0112","4675.06000"
17884,"Carrie Ortega","carrie19@adventure-works.com","1 (11) 500 555-0111","4674.06000"
19253,"Victor Carlson","victor18@adventure-works.com","1 (11) 500 555-0132","4674.06000"
5180,"Jordan Shan","jordan27@adventure-works.com","1 (11) 500 555-0165","4674.05000"
18603,"Stacy Hernandez","stacy5@adventure-works.com","1 (11) 500 555-0122","4673.04750"
16934,"Carl She","carl0@adventure-works.com","1 (11) 500 555-0172","4673.03040"
9950,"Mary Carter","mary23@adventure-works.com","1 (11) 500 555-0143","4673.03000"
16725,"Martin Suri","martin6@adventure-works.com","1 (11) 500 555-0111","4671.36000"
17863,"Ethan Davis","ethan37@adventure-works.com","225-555-0119","4671.04000"
12420,"Lacey Yuan","lacey41@adventure-works.com","1 (11) 500 555-0125","4670.07180"
18727,"Erika Rubio","erika18@adventure-works.com","1 (11) 500 555-0159","4670.07000"
13247,"Robyn Carlson","robyn14@adventure-works.com","1 (11) 500 555-0172","4670.07000"
13051,"Louis Liang","louis11@adventure-works.com","1 (11) 500 555-0127","4670.02040"
8179,"Franklin Xu","franklin23@adventure-works.com","1 (11) 500 555-0127","4669.54750"
19162,"Casey Vazquez","casey38@adventure-works.com","1 (11) 500 555-0180","4669.53180"
11654,"Pedro Rana","pedro11@adventure-works.com","1 (11) 500 555-0115","4669.07180"
4734,"Trisha Zhou","trisha3@adventure-works.com","1 (11) 500 555-0128","4669.07040"
6364,"Jacquelyn Blanco","jacquelyn16@adventure-works.com","1 (11) 500 555-0116","4669.07040"
17475,"Leah Hu","leah16@adventure-works.com","1 (11) 500 555-0191","4669.07000"
4525,"Dalton Evans","dalton43@adventure-works.com","251-555-0135","4669.07000"
7115,"Adrienne Torres","adrienne8@adventure-works.com","1 (11) 500 555-0120","4669.07000"
8607,"Tasha Deng","tasha1@adventure-works.com","1 (11) 500 555-0171","4669.07000"
18179,"Randy Hu","randy23@adventure-works.com","1 (11) 500 555-0111","4669.06750"
11896,"Tamara Lal","tamara20@adventure-works.com","1 (11) 500 555-0171","4668.55000"
10896,"Arthur Chandra","arthur4@adventure-works.com","1 (11) 500 555-0196","4668.04040"
12599,"Ashley Russell","ashley47@adventure-works.com","1 (11) 500 555-0158","4668.04000"
18600,"Stacy Ruiz","stacy3@adventure-works.com","1 (11) 500 555-0123","4667.04000"
8739,"Danielle Bell","danielle16@adventure-works.com","390-555-0199","4666.05000"
5465,"Eugene Zhao","eugene14@adventure-works.com","1 (11) 500 555-0164","4664.04180"
4217,"Blake Collins","blake47@adventure-works.com","1 (11) 500 555-0140","4662.07040"
8139,"Edgar Sara","edgar11@adventure-works.com","1 (11) 500 555-0125","4660.07000"
4789,"Bianca Zhao","bianca8@adventure-works.com","1 (11) 500 555-0184","4660.06180"
19538,"Monica Vance","monica4@adventure-works.com","1 (11) 500 555-0113","4660.03000"
9771,"Deanna Martin","deanna25@adventure-works.com","1 (11) 500 555-0170","4659.06040"
13895,"Theresa Munoz","theresa4@adventure-works.com","1 (11) 500 555-0124","4659.06040"
4312,"Devon Kennedy","devon5@adventure-works.com","1 (11) 500 555-0153","4659.05180"
7359,"Riley Price","riley0@adventure-works.com","246-555-0191","4659.05000"
17147,"Robert Wright","robert63@adventure-works.com","676-555-0147","4658.05000"
7912,"Allison Brooks","allison0@adventure-works.com","993-555-0174","4658.05000"
16581,"Nichole She","nichole0@adventure-works.com","1 (11) 500 555-0168","4658.05000"
3286,"Ruth Mehta","ruth18@adventure-works.com","1 (11) 500 555-0139","4658.04750"
11497,"Jenny Lal","jenny32@adventure-works.com","1 (11) 500 555-0197","4658.04750"
5975,"Nathan Wang","nathan21@adventure-works.com","1 (11) 500 555-0166","4654.06180"
11743,"Ross Jordan","ross1@adventure-works.com","1 (11) 500 555-0126","4654.06000"
15220,"Bryan Rivera","bryan17@adventure-works.com","1 (11) 500 555-0168","4654.05750"
5231,"Adam Ross","adam2@adventure-works.com","1 (11) 500 555-0186","4654.03000"
16904,"Melody Romero","melody9@adventure-works.com","1 (11) 500 555-0168","4653.06250"
13076,"Louis Xie","louis20@adventure-works.com","1 (11) 500 555-0115","4653.06000"
2945,"Jarrod Rodriguez","jarrod18@adventure-works.com","1 (11) 500 555-0125","4650.07040"
12646,"Clayton Jai","clayton29@adventure-works.com","1 (11) 500 555-0112","4649.07040"
17455,"Leah Ye","leah7@adventure-works.com","1 (11) 500 555-0154","4649.07000"
19739,"Rachel Bradley","rachel48@adventure-works.com","252-555-0158","4649.07000"
18036,"Jeffery Chen","jeffery2@adventure-works.com","1 (11) 500 555-0118","4649.04000"
3078,"Warren Raje","warren3@adventure-works.com","1 (11) 500 555-0112","4648.03750"
3036,"Summer Madan","summer6@adventure-works.com","1 (11) 500 555-0194","4647.05180"
8995,"Savannah Morris","savannah17@adventure-works.com","1 (11) 500 555-0193","4647.05000"
10756,"Sydney Miller","sydney70@adventure-works.com","134-555-0132","4647.05000"
10441,"Arturo Sharma","arturo34@adventure-works.com","1 (11) 500 555-0149","4644.07180"
17070,"Johnny Rai","johnny19@adventure-works.com","1 (11) 500 555-0157","4644.07180"
3297,"Ruth Gonzalez","ruth22@adventure-works.com","1 (11) 500 555-0143","4644.07040"
19096,"Derrick Ruiz","derrick2@adventure-works.com","1 (11) 500 555-0135","4644.07040"
18216,"Austin Davis","austin44@adventure-works.com","923-555-0190","4644.07000"
